STATcube

Studies at public universities (Q)
Semester, Sex and Universität (Ebene +1) by Ordinary Studies and Kind of study
Counting: Ordinary Studies

Semester,Sex,University (Ebene +1),Values,Kind of study,Number,Annotations,Column1
summer semester 2014,male,University of the arts,Ordinary Studies,Master studies,776,,
summer semester 2014,male,University of the arts,Ordinary Studies,Doctoral studies,360,,
winter semester 2014/15,female,University of the sciences,Ordinary Studies,Bachelor studies,89138,,
winter semester 2014/15,female,University of the sciences,Ordinary Studies,Diploma studies,45896,,
winter semester 2014/15,female,University of the sciences,Ordinary Studies,Master studies,28313,,
winter semester 2014/15,female,University of the sciences,Ordinary Studies,Doctoral studies,12133,,
winter semester 2014/15,female,University of the arts,Ordinary Studies,Bachelor studies,1604,,
winter semester 2014/15,female,University of the arts,Ordinary Studies,Diploma studies,2535,,
winter semester 2014/15,female,University of the arts,Ordinary Studies,Master studies,1133,,
winter semester 2014/15,female,University of the arts,Ordinary Studies,Doctoral studies,444,,
winter semester 2014/15,male,University of the sciences,Ordinary Studies,Bachelor studies,85576,,
winter semester 2014/15,male,University of the sciences,Ordinary Studies,Diploma studies,32704,,
winter semester 2014/15,male,University of the sciences,Ordinary Studies,Master studies,23509,,
winter semester 2014/15,male,University of the sciences,Ordinary Studies,Doctoral studies,14208,,
winter semester 2014/15,male,University of the arts,Ordinary Studies,Bachelor studies,1496,,
winter semester 2014/15,male,University of the arts,Ordinary Studies,Diploma studies,1783,,
winter semester 2014/15,male,University of the arts,Ordinary Studies,Master studies,860,,
winter semester 2014/15,male,University of the arts,Ordinary Studies,Doctoral studies,358,,
summer semester 2015,female,University of the sciences,Ordinary Studies,Bachelor studies,83099,,
summer semester 2015,female,University of the sciences,Ordinary Studies,Diploma studies,42166,,
summer semester 2015,female,University of the sciences,Ordinary Studies,Master studies,28390,,
summer semester 2015,female,University of the sciences,Ordinary Studies,Doctoral studies,11870,,
summer semester 2015,female,University of the arts,Ordinary Studies,Bachelor studies,1487,,
summer semester 2015,female,University of the arts,Ordinary Studies,Diploma studies,2390,,
summer semester 2015,female,University of the arts,Ordinary Studies,Master studies,1113,,
summer semester 2015,female,University of the arts,Ordinary Studies,Doctoral studies,453,,
summer semester 2015,male,University of the sciences,Ordinary Studies,Bachelor studies,80450,,
summer semester 2015,male,University of the sciences,Ordinary Studies,Diploma studies,30461,,
summer semester 2015,male,University of the sciences,Ordinary Studies,Master studies,23614,,
summer semester 2015,male,University of the sciences,Ordinary Studies,Doctoral studies,13943,,
summer semester 2015,male,University of the arts,Ordinary Studies,Bachelor studies,1405,,
summer semester 2015,male,University of the arts,Ordinary Studies,Diploma studies,1696,,
summer semester 2015,male,University of the arts,Ordinary Studies,Master studies,821,,
summer semester 2015,male,University of the arts,Ordinary Studies,Doctoral studies,343,,
winter semester 2015/16,female,University of the sciences,Ordinary Studies,Bachelor studies,93793,,
winter semester 2015/16,female,University of the sciences,Ordinary Studies,Diploma studies,40049,,
winter semester 2015/16,female,University of the sciences,Ordinary Studies,Master studies,30412,,
winter semester 2015/16,female,University of the sciences,Ordinary Studies,Doctoral studies,11687,,
winter semester 2015/16,female,University of the arts,Ordinary Studies,Bachelor studies,1688,,
winter semester 2015/16,female,University of the arts,Ordinary Studies,Diploma studies,2351,,
winter semester 2015/16,female,University of the arts,Ordinary Studies,Master studies,1230,,
winter semester 2015/16,female,University of the arts,Ordinary Studies,Doctoral studies,478,,
winter semester 2015/16,male,University of the sciences,Ordinary Studies,Bachelor studies,89213,,
winter semester 2015/16,male,University of the sciences,Ordinary Studies,Diploma studies,28610,,
winter semester 2015/16,male,University of the sciences,Ordinary Studies,Master studies,25015,,
winter semester 2015/16,male,University of the sciences,Ordinary Studies,Doctoral studies,13909,,
winter semester 2015/16,male,University of the arts,Ordinary Studies,Bachelor studies,1551,,
winter semester 2015/16,male,University of the arts,Ordinary Studies,Diploma studies,1702,,
winter semester 2015/16,male,University of the arts,Ordinary Studies,Master studies,914,,
winter semester 2015/16,male,University of the arts,Ordinary Studies,Doctoral studies,341,,
summer semester 2016,female,University of the sciences,Ordinary Studies,Bachelor studies,87456,,
summer semester 2016,female,University of the sciences,Ordinary Studies,Diploma studies,36598,,
summer semester 2016,female,University of the sciences,Ordinary Studies,Master studies,30186,,
summer semester 2016,female,University of the sciences,Ordinary Studies,Doctoral studies,11313,,
summer semester 2016,female,University of the arts,Ordinary Studies,Bachelor studies,1642,,
summer semester 2016,female,University of the arts,Ordinary Studies,Diploma studies,2251,,
summer semester 2016,female,University of the arts,Ordinary Studies,Master studies,1154,,
summer semester 2016,female,University of the arts,Ordinary Studies,Doctoral studies,500,,
summer semester 2016,male,University of the sciences,Ordinary Studies,Bachelor studies,83453,,
summer semester 2016,male,University of the sciences,Ordinary Studies,Diploma studies,26355,,
summer semester 2016,male,University of the sciences,Ordinary Studies,Master studies,25068,,
summer semester 2016,male,University of the sciences,Ordinary Studies,Doctoral studies,13625,,
summer semester 2016,male,University of the arts,Ordinary Studies,Bachelor studies,1478,,
summer semester 2016,male,University of the arts,Ordinary Studies,Diploma studies,1616,,
summer semester 2016,male,University of the arts,Ordinary Studies,Master studies,886,,
summer semester 2016,male,University of the arts,Ordinary Studies,Doctoral studies,321,,
winter semester 2016/17,female,University of the sciences,Ordinary Studies,Bachelor studies,94741.751535,,
winter semester 2016/17,female,University of the sciences,Ordinary Studies,Diploma studies,35472,,
winter semester 2016/17,female,University of the sciences,Ordinary Studies,Master studies,31547.512,,
winter semester 2016/17,female,University of the sciences,Ordinary Studies,Doctoral studies,11187.5,,
winter semester 2016/17,female,University of the arts,Ordinary Studies,Bachelor studies,1914.15237,,
winter semester 2016/17,female,University of the arts,Ordinary Studies,Diploma studies,2150.5,,
winter semester 2016/17,female,University of the arts,Ordinary Studies,Master studies,1208.8,,
winter semester 2016/17,female,University of the arts,Ordinary Studies,Doctoral studies,509.5,,
winter semester 2016/17,male,University of the sciences,Ordinary Studies,Bachelor studies,89113.92837,,
winter semester 2016/17,male,University of the sciences,Ordinary Studies,Diploma studies,25646,,
winter semester 2016/17,male,University of the sciences,Ordinary Studies,Master studies,26388.25,,
winter semester 2016/17,male,University of the sciences,Ordinary Studies,Doctoral studies,13476.7,,
winter semester 2016/17,male,University of the arts,Ordinary Studies,Bachelor studies,1628.34964,,
winter semester 2016/17,male,University of the arts,Ordinary Studies,Diploma studies,1547,,
winter semester 2016/17,male,University of the arts,Ordinary Studies,Master studies,929.25,,
winter semester 2016/17,male,University of the arts,Ordinary Studies,Doctoral studies,329,,
summer semester 2017,female,University of the sciences,Ordinary Studies,Bachelor studies,88000.577415,,
summer semester 2017,female,University of the sciences,Ordinary Studies,Diploma studies,32946.5,,
summer semester 2017,female,University of the sciences,Ordinary Studies,Master studies,31208.436,,
summer semester 2017,female,University of the sciences,Ordinary Studies,Doctoral studies,10896.5,,
summer semester 2017,female,University of the arts,Ordinary Studies,Bachelor studies,1814.668635,,
summer semester 2017,female,University of the arts,Ordinary Studies,Diploma studies,2025,,
summer semester 2017,female,University of the arts,Ordinary Studies,Master studies,1157.1,,
summer semester 2017,female,University of the arts,Ordinary Studies,Doctoral studies,501.5,,
summer semester 2017,male,University of the sciences,Ordinary Studies,Bachelor studies,82828.28908,,
summer semester 2017,male,University of the sciences,Ordinary Studies,Diploma studies,24007,,
summer semester 2017,male,University of the sciences,Ordinary Studies,Master studies,26303.65,,
summer semester 2017,male,University of the sciences,Ordinary Studies,Doctoral studies,13247,,
summer semester 2017,male,University of the arts,Ordinary Studies,Bachelor studies,1555.71364,,
summer semester 2017,male,University of the arts,Ordinary Studies,Diploma studies,1452.5,,
summer semester 2017,male,University of the arts,Ordinary Studies,Master studies,896.35,,
summer semester 2017,male,University of the arts,Ordinary Studies,Doctoral studies,315,,
winter semester 2017/18,female,University of the sciences,Ordinary Studies,Bachelor studies,95007.1994,,
winter semester 2017/18,female,University of the sciences,Ordinary Studies,Diploma studies,32251,,
winter semester 2017/18,female,University of the sciences,Ordinary Studies,Master studies,32816.733,,
winter semester 2017/18,female,University of the sciences,Ordinary Studies,Doctoral studies,9655.5,,
winter semester 2017/18,female,University of the arts,Ordinary Studies,Bachelor studies,2030.69305,,
winter semester 2017/18,female,University of the arts,Ordinary Studies,Diploma studies,2000.5,,
winter semester 2017/18,female,University of the arts,Ordinary Studies,Master studies,1212.426,,
winter semester 2017/18,female,University of the arts,Ordinary Studies,Doctoral studies,493.5,,
winter semester 2017/18,male,University of the sciences,Ordinary Studies,Bachelor studies,88351.2565,,
winter semester 2017/18,male,University of the sciences,Ordinary Studies,Diploma studies,23255,,
winter semester 2017/18,male,University of the sciences,Ordinary Studies,Master studies,27610.844,,
winter semester 2017/18,male,University of the sciences,Ordinary Studies,Doctoral studies,11932.5,,
winter semester 2017/18,male,University of the arts,Ordinary Studies,Bachelor studies,1680.6071,,
winter semester 2017/18,male,University of the arts,Ordinary Studies,Diploma studies,1425.5,,
winter semester 2017/18,male,University of the arts,Ordinary Studies,Master studies,962.166,,
winter semester 2017/18,male,University of the arts,Ordinary Studies,Doctoral studies,292.5,,
summer semester 2018,female,University of the sciences,Ordinary Studies,Bachelor studies,87811.61715,,
summer semester 2018,female,University of the sciences,Ordinary Studies,Diploma studies,29845.5,,
summer semester 2018,female,University of the sciences,Ordinary Studies,Master studies,32064.442,,
summer semester 2018,female,University of the sciences,Ordinary Studies,Doctoral studies,9586,,
summer semester 2018,female,University of the arts,Ordinary Studies,Bachelor studies,1944.9233,,
summer semester 2018,female,University of the arts,Ordinary Studies,Diploma studies,1841,,
summer semester 2018,female,University of the arts,Ordinary Studies,Master studies,1176.54,,
summer semester 2018,female,University of the arts,Ordinary Studies,Doctoral studies,512,,
summer semester 2018,male,University of the sciences,Ordinary Studies,Bachelor studies,81538.19105,,
summer semester 2018,male,University of the sciences,Ordinary Studies,Diploma studies,21548.5,,
summer semester 2018,male,University of the sciences,Ordinary Studies,Master studies,27002.676,,
summer semester 2018,male,University of the sciences,Ordinary Studies,Doctoral studies,11760,,
summer semester 2018,male,University of the arts,Ordinary Studies,Bachelor studies,1581.0189,,
summer semester 2018,male,University of the arts,Ordinary Studies,Diploma studies,1334.5,,
summer semester 2018,male,University of the arts,Ordinary Studies,Master studies,927.466,,
summer semester 2018,male,University of the arts,Ordinary Studies,Doctoral studies,284,,
winter semester 2018/19,female,University of the sciences,Ordinary Studies,Bachelor studies,92134.6807,,
winter semester 2018/19,female,University of the sciences,Ordinary Studies,Diploma studies,28882.5,,
winter semester 2018/19,female,University of the sciences,Ordinary Studies,Master studies,32600.079,,
winter semester 2018/19,female,University of the sciences,Ordinary Studies,Doctoral studies,9053.5,,
winter semester 2018/19,female,University of the arts,Ordinary Studies,Bachelor studies,2129.944,,
winter semester 2018/19,female,University of the arts,Ordinary Studies,Diploma studies,1863,,
winter semester 2018/19,female,University of the arts,Ordinary Studies,Master studies,1234.308,,
winter semester 2018/19,female,University of the arts,Ordinary Studies,Doctoral studies,499.5,,
winter semester 2018/19,male,University of the sciences,Ordinary Studies,Bachelor studies,83870.7356,,
winter semester 2018/19,male,University of the sciences,Ordinary Studies,Diploma studies,20430,,
winter semester 2018/19,male,University of the sciences,Ordinary Studies,Master studies,27268.206,,
winter semester 2018/19,male,University of the sciences,Ordinary Studies,Doctoral studies,11228,,
winter semester 2018/19,male,University of the arts,Ordinary Studies,Bachelor studies,1702.9974,,
winter semester 2018/19,male,University of the arts,Ordinary Studies,Diploma studies,1357,,
winter semester 2018/19,male,University of the arts,Ordinary Studies,Master studies,949.532,,
winter semester 2018/19,male,University of the arts,Ordinary Studies,Doctoral studies,277,,
summer semester 2019,female,University of the sciences,Ordinary Studies,Bachelor studies,86055.88915,,
summer semester 2019,female,University of the sciences,Ordinary Studies,Diploma studies,27364.5,,
summer semester 2019,female,University of the sciences,Ordinary Studies,Master studies,32051.815,,
summer semester 2019,female,University of the sciences,Ordinary Studies,Doctoral studies,8900,,
summer semester 2019,female,University of the arts,Ordinary Studies,Bachelor studies,2038.49495,,
summer semester 2019,female,University of the arts,Ordinary Studies,Diploma studies,1755.5,,
summer semester 2019,female,University of the arts,Ordinary Studies,Master studies,1196.552,,
summer semester 2019,female,University of the arts,Ordinary Studies,Doctoral studies,492,,
summer semester 2019,male,University of the sciences,Ordinary Studies,Bachelor studies,77868.49225,,
summer semester 2019,male,University of the sciences,Ordinary Studies,Diploma studies,19451,,
summer semester 2019,male,University of the sciences,Ordinary Studies,Master studies,26675.388,,
summer semester 2019,male,University of the sciences,Ordinary Studies,Doctoral studies,11054,,
summer semester 2019,male,University of the arts,Ordinary Studies,Bachelor studies,1618.3393,,
summer semester 2019,male,University of the arts,Ordinary Studies,Diploma studies,1243.5,,
summer semester 2019,male,University of the arts,Ordinary Studies,Master studies,909.054,,
summer semester 2019,male,University of the arts,Ordinary Studies,Doctoral studies,264,,
winter semester 2019/20,female,University of the sciences,Ordinary Studies,Bachelor studies,90392.95565,,
winter semester 2019/20,female,University of the sciences,Ordinary Studies,Diploma studies,26376,,
winter semester 2019/20,female,University of the sciences,Ordinary Studies,Master studies,33735.90855,,
winter semester 2019/20,female,University of the sciences,Ordinary Studies,Doctoral studies,8762,,
winter semester 2019/20,female,University of the arts,Ordinary Studies,Bachelor studies,2231.78845,,
winter semester 2019/20,female,University of the arts,Ordinary Studies,Diploma studies,1788,,
winter semester 2019/20,female,University of the arts,Ordinary Studies,Master studies,1331.09895,,
winter semester 2019/20,female,University of the arts,Ordinary Studies,Doctoral studies,497,,
winter semester 2019/20,male,University of the sciences,Ordinary Studies,Bachelor studies,81306.88515,,
winter semester 2019/20,male,University of the sciences,Ordinary Studies,Diploma studies,18607.5,,
winter semester 2019/20,male,University of the sciences,Ordinary Studies,Master studies,28343.12655,,
winter semester 2019/20,male,University of the sciences,Ordinary Studies,Doctoral studies,10933.5,,
winter semester 2019/20,male,University of the arts,Ordinary Studies,Bachelor studies,1701.83145,,
winter semester 2019/20,male,University of the arts,Ordinary Studies,Diploma studies,1261.5,,
winter semester 2019/20,male,University of the arts,Ordinary Studies,Master studies,1000.97485,,
winter semester 2019/20,male,University of the arts,Ordinary Studies,Doctoral studies,267.5,,
summer semester 2020,female,University of the sciences,Ordinary Studies,Bachelor studies,81890.93885,,
summer semester 2020,female,University of the sciences,Ordinary Studies,Diploma studies,23564.5,,
summer semester 2020,female,University of the sciences,Ordinary Studies,Master studies,32608.88915,,
summer semester 2020,female,University of the sciences,Ordinary Studies,Doctoral studies,8498.2,,
summer semester 2020,female,University of the arts,Ordinary Studies,Bachelor studies,2032.59785,,
summer semester 2020,female,University of the arts,Ordinary Studies,Diploma studies,1516,,
summer semester 2020,female,University of the arts,Ordinary Studies,Master studies,1201.97705,,
summer semester 2020,female,University of the arts,Ordinary Studies,Doctoral studies,474.5,,
summer semester 2020,male,University of the sciences,Ordinary Studies,Bachelor studies,74060.3084,,
summer semester 2020,male,University of the sciences,Ordinary Studies,Diploma studies,16888.5,,
summer semester 2020,male,University of the sciences,Ordinary Studies,Master studies,27089.25095,,
summer semester 2020,male,University of the sciences,Ordinary Studies,Doctoral studies,10557.2,,
summer semester 2020,male,University of the arts,Ordinary Studies,Bachelor studies,1571.81145,,
summer semester 2020,male,University of the arts,Ordinary Studies,Diploma studies,1113,,
summer semester 2020,male,University of the arts,Ordinary Studies,Master studies,907.6887,,
summer semester 2020,male,University of the arts,Ordinary Studies,Doctoral studies,250.5,,
winter semester 2020/21,female,University of the sciences,Ordinary Studies,Bachelor studies,91374.12846,,
winter semester 2020/21,female,University of the sciences,Ordinary Studies,Diploma studies,24425.5,,
winter semester 2020/21,female,University of the sciences,Ordinary Studies,Master studies,36293.16906,,
winter semester 2020/21,female,University of the sciences,Ordinary Studies,Doctoral studies,8791.5,,
winter semester 2020/21,female,University of the arts,Ordinary Studies,Bachelor studies,2283.61934,,
winter semester 2020/21,female,University of the arts,Ordinary Studies,Diploma studies,1654.5,,
winter semester 2020/21,female,University of the arts,Ordinary Studies,Master studies,1476.74584,,
winter semester 2020/21,female,University of the arts,Ordinary Studies,Doctoral studies,515.5,,
winter semester 2020/21,male,University of the sciences,Ordinary Studies,Bachelor studies,80875.28951,,
winter semester 2020/21,male,University of the sciences,Ordinary Studies,Diploma studies,17348.5,,
winter semester 2020/21,male,University of the sciences,Ordinary Studies,Master studies,29883.59968,,
winter semester 2020/21,male,University of the sciences,Ordinary Studies,Doctoral studies,10780.5,,
winter semester 2020/21,male,University of the arts,Ordinary Studies,Bachelor studies,1717.53389,,
winter semester 2020/21,male,University of the arts,Ordinary Studies,Diploma studies,1263,,
winter semester 2020/21,male,University of the arts,Ordinary Studies,Master studies,1094.76202,,
winter semester 2020/21,male,University of the arts,Ordinary Studies,Doctoral studies,287.5,,
summer semester 2021,female,University of the sciences,Ordinary Studies,Bachelor studies,84347.34041,,
summer semester 2021,female,University of the sciences,Ordinary Studies,Diploma studies,22087,,
summer semester 2021,female,University of the sciences,Ordinary Studies,Master studies,36779.96723,,
summer semester 2021,female,University of the sciences,Ordinary Studies,Doctoral studies,8946,,
summer semester 2021,female,University of the arts,Ordinary Studies,Bachelor studies,2184.43234,,
summer semester 2021,female,University of the arts,Ordinary Studies,Diploma studies,1572,,
summer semester 2021,female,University of the arts,Ordinary Studies,Master studies,1437.19212,,
summer semester 2021,female,University of the arts,Ordinary Studies,Doctoral studies,518,,
summer semester 2021,male,University of the sciences,Ordinary Studies,Bachelor studies,74569.76406,,
summer semester 2021,male,University of the sciences,Ordinary Studies,Diploma studies,15757,,
summer semester 2021,male,University of the sciences,Ordinary Studies,Master studies,30241.62319,,
summer semester 2021,male,University of the sciences,Ordinary Studies,Doctoral studies,10970,,
summer semester 2021,male,University of the arts,Ordinary Studies,Bachelor studies,1644.09844,,
summer semester 2021,male,University of the arts,Ordinary Studies,Diploma studies,1190.5,,
summer semester 2021,male,University of the arts,Ordinary Studies,Master studies,1082.07966,,
summer semester 2021,male,University of the arts,Ordinary Studies,Doctoral studies,302,,
winter semester 2021/22,female,University of the sciences,Ordinary Studies,Bachelor studies,87851.054,,
winter semester 2021/22,female,University of the sciences,Ordinary Studies,Diploma studies,22166,,
winter semester 2021/22,female,University of the sciences,Ordinary Studies,Master studies,38989.8023,,
winter semester 2021/22,female,University of the sciences,Ordinary Studies,Doctoral studies,8840,,
winter semester 2021/22,female,University of the arts,Ordinary Studies,Bachelor studies,2356.8729,,
winter semester 2021/22,female,University of the arts,Ordinary Studies,Diploma studies,1588,,
winter semester 2021/22,female,University of the arts,Ordinary Studies,Master studies,1527.20725,,
winter semester 2021/22,female,University of the arts,Ordinary Studies,Doctoral studies,553,,
winter semester 2021/22,male,University of the sciences,Ordinary Studies,Bachelor studies,77439.3934,,
winter semester 2021/22,male,University of the sciences,Ordinary Studies,Diploma studies,15485,,
winter semester 2021/22,male,University of the sciences,Ordinary Studies,Master studies,31870.1207,,
winter semester 2021/22,male,University of the sciences,Ordinary Studies,Doctoral studies,10940.5,,
winter semester 2021/22,male,University of the arts,Ordinary Studies,Bachelor studies,1725.08865,,
winter semester 2021/22,male,University of the arts,Ordinary Studies,Diploma studies,1217.5,,
winter semester 2021/22,male,University of the arts,Ordinary Studies,Master studies,1147.2204,,
winter semester 2021/22,male,University of the arts,Ordinary Studies,Doctoral studies,308.5,,
summer semester 2022,female,University of the sciences,Ordinary Studies,Bachelor studies,80107.73605,,
summer semester 2022,female,University of the sciences,Ordinary Studies,Diploma studies,20841,,
summer semester 2022,female,University of the sciences,Ordinary Studies,Master studies,38091.51245,,
summer semester 2022,female,University of the sciences,Ordinary Studies,Doctoral studies,8782,,
summer semester 2022,female,University of the arts,Ordinary Studies,Bachelor studies,2276.3172,,
summer semester 2022,female,University of the arts,Ordinary Studies,Diploma studies,1512.5,,
summer semester 2022,female,University of the arts,Ordinary Studies,Master studies,1473.29385,,
summer semester 2022,female,University of the arts,Ordinary Studies,Doctoral studies,537,,
summer semester 2022,male,University of the sciences,Ordinary Studies,Bachelor studies,70928.781,,
summer semester 2022,male,University of the sciences,Ordinary Studies,Diploma studies,14487.5,,
summer semester 2022,male,University of the sciences,Ordinary Studies,Master studies,31158.2796,,
summer semester 2022,male,University of the sciences,Ordinary Studies,Doctoral studies,10810.5,,
summer semester 2022,male,University of the arts,Ordinary Studies,Bachelor studies,1633.0364,,
summer semester 2022,male,University of the arts,Ordinary Studies,Diploma studies,1176,,
summer semester 2022,male,University of the arts,Ordinary Studies,Master studies,1096.95875,,
summer semester 2022,male,University of the arts,Ordinary Studies,Doctoral studies,301.5,,
winter semester 2022/23,female,University of the sciences,Ordinary Studies,Bachelor studies,83266.4921,,
winter semester 2022/23,female,University of the sciences,Ordinary Studies,Diploma studies,21516,,
winter semester 2022/23,female,University of the sciences,Ordinary Studies,Master studies,39846.827,,
winter semester 2022/23,female,University of the sciences,Ordinary Studies,Doctoral studies,8840,,
winter semester 2022/23,female,University of the arts,Ordinary Studies,Bachelor studies,2383.05545,,
winter semester 2022/23,female,University of the arts,Ordinary Studies,Diploma studies,1602,,
winter semester 2022/23,female,University of the arts,Ordinary Studies,Master studies,1621.86795,,
winter semester 2022/23,female,University of the arts,Ordinary Studies,Doctoral studies,526,,
winter semester 2022/23,male,University of the sciences,Ordinary Studies,Bachelor studies,73958.1698,,
winter semester 2022/23,male,University of the sciences,Ordinary Studies,Diploma studies,14687.5,,
winter semester 2022/23,male,University of the sciences,Ordinary Studies,Master studies,32729.80125,,
winter semester 2022/23,male,University of the sciences,Ordinary Studies,Doctoral studies,10804,,
winter semester 2022/23,male,University of the arts,Ordinary Studies,Bachelor studies,1662.5754,,
winter semester 2022/23,male,University of the arts,Ordinary Studies,Diploma studies,1208,,
winter semester 2022/23,male,University of the arts,Ordinary Studies,Master studies,1202.50235,,
winter semester 2022/23,male,University of the arts,Ordinary Studies,Doctoral studies,322,,
summer semester 2023,female,University of the sciences,Ordinary Studies,Bachelor studies,76381.7993,,
summer semester 2023,female,University of the sciences,Ordinary Studies,Diploma studies,20135.5,,
summer semester 2023,female,University of the sciences,Ordinary Studies,Master studies,38981.5883,,
summer semester 2023,female,University of the sciences,Ordinary Studies,Doctoral studies,8878,,
summer semester 2023,female,University of the arts,Ordinary Studies,Bachelor studies,2282.5361,,
summer semester 2023,female,University of the arts,Ordinary Studies,Diploma studies,1547,,
summer semester 2023,female,University of the arts,Ordinary Studies,Master studies,1526.48255,,
summer semester 2023,female,University of the arts,Ordinary Studies,Doctoral studies,526,,
summer semester 2023,male,University of the sciences,Ordinary Studies,Bachelor studies,67905.92005,,
summer semester 2023,male,University of the sciences,Ordinary Studies,Diploma studies,13776.5,,
summer semester 2023,male,University of the sciences,Ordinary Studies,Master studies,32378.9926,,
summer semester 2023,male,University of the sciences,Ordinary Studies,Doctoral studies,10740.5,,
summer semester 2023,male,University of the arts,Ordinary Studies,Bachelor studies,1565.6176,,
summer semester 2023,male,University of the arts,Ordinary Studies,Diploma studies,1192,,
summer semester 2023,male,University of the arts,Ordinary Studies,Master studies,1145.67725,,
summer semester 2023,male,University of the arts,Ordinary Studies,Doctoral studies,330.5,,
winter semester 2023/24,female,University of the sciences,Ordinary Studies,Bachelor studies,81553.68105,,
winter semester 2023/24,female,University of the sciences,Ordinary Studies,Diploma studies,20748,,
winter semester 2023/24,female,University of the sciences,Ordinary Studies,Master studies,40290.8989,,
winter semester 2023/24,female,University of the sciences,Ordinary Studies,Doctoral studies,8915,,
winter semester 2023/24,female,University of the arts,Ordinary Studies,Bachelor studies,2410.20885,,
winter semester 2023/24,female,University of the arts,Ordinary Studies,Diploma studies,1660,,
winter semester 2023/24,female,University of the arts,Ordinary Studies,Master studies,1674.2994,,
winter semester 2023/24,female,University of the arts,Ordinary Studies,Doctoral studies,573,,
winter semester 2023/24,male,University of the sciences,Ordinary Studies,Bachelor studies,72511.5142,,
winter semester 2023/24,male,University of the sciences,Ordinary Studies,Diploma studies,13934,,
winter semester 2023/24,male,University of the sciences,Ordinary Studies,Master studies,33765.3626,,
winter semester 2023/24,male,University of the sciences,Ordinary Studies,Doctoral studies,10724.5,,
winter semester 2023/24,male,University of the arts,Ordinary Studies,Bachelor studies,1642.5279,,
winter semester 2023/24,male,University of the arts,Ordinary Studies,Diploma studies,1217,,
winter semester 2023/24,male,University of the arts,Ordinary Studies,Master studies,1205.2477,,
winter semester 2023/24,male,University of the arts,Ordinary Studies,Doctoral studies,339.5,,
,,,,,,,
,,,,,,,
Symbol,Description,,,,,,
Q,STATcube � Statistical Database of STATISTICS AUSTRIA,,,,,,
Studies at public universities,.) Subject of the statistics Studies at public universities starting from winter semester 2003/04. .) Legal basis Bildungsdokumentationsgesetz. Bundesstatistikgesetz 2000. Universit�ts- und Hochschulstatistik- und Bildungsdokumentationsverordnung � UHSBV .) Updating. periodicity New data are stored twice a year. New winter term data are available in the end of each August at the latest. new summer term data in the end of March of the following year. .) Documentation Directorate Social Statistics � Labour Market and Education University Statistics Team Tel.: +43 1 711 28-7349 E-Mail: hochschulstatistik@statistik.gv.at Other Metadata: https://www.statistik.at/en/statistics/population-and-society/education/university-students-studies,,,,,,
Semester,From winter semester 2016/17 the studies are counted according � 22 UHSBV. This means that studies have to be rounded to whole numbers and there may be discrepancies between the total and the added detailed results.,,,,,,
Sex,In the surveys based on the Ordinance on University and Higher Education Statistics and Educational Documentation - UHSBV. Federal Law Gazette II No. 216/2019. gender is also surveyed for diverse and all other gender that are neither male nor female (third sex). Due to the small number of cases of persons with the third sex. they are assigned to the binary forms male or female by imputation for data protection reasons in STATcube.,,,,,,
,,,,,,,
,,,,,,,
(c) Copyright Statistics Austria,,,,,,,
